stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00221] Also searching C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00316] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00333] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.01337] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.70404] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.72156] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.72733] al_display=00000283E64D60F0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.73348] al_display->vt=00000283E49D73A0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.74439] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.74566] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.74683] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.74753] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.74826] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.74905] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.75089] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.75186] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.75731] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76707] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76807] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76830] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76844] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76857] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76869] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76879] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76890] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76899] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76918] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76928] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76943] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76956] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76969] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.76981] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.76993] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.77006] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77019] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.77037] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77049] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.77065] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77077] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.77088] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77100] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.77111] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77122] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77132] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77148] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77160] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77174] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77194] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77286] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77301] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77313] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77324] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77337] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77350] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77364] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77380] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77391] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77406] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77420] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77434] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77450] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77461] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77474] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77485] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77499] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77514] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77525] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77536] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77549] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77561] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77575] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77585] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.77598] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.77608] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77621] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77637] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77651] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.77665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.77682] Score is : 769
